sample_name,input_id,input_value,input_type
hg38-dbsnp,dbsnp_vcf,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606/VCF/common_all_20180418.vcf.gz,files
hg38-dbsnp,dbsnp_tbi,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606/VCF/common_all_20180418.vcf.gz.tbi,files
hg19-dbsnp,dbsnp_vcf,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606_b151_GRCh37p13/VCF/common_all_20180423.vcf.gz,files
hg19-dbsnp,dbsnp_tbi,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606_b151_GRCh37p13/VCF/common_all_20180423.vcf.gz.tbi,files
hg38_primary-fasta,fasta,http://big.databio.org/refgenomes/hg38_primary.fa.gz,files
mm10_primary-fasta,fasta,http://big.databio.org/refgenomes/mm10_primary.fa.gz,files
hg38_mm10-fasta,fasta,http://big.databio.org/refgenomes/hg38_mm10.fa.gz,files
dm6-fasta,fasta,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.fna.gz,files
hs38d1-fasta,fasta,http://big.databio.org/refgenomes/hs38d1.fa.gz,files
hg38_noalt_decoy-fasta,fasta,http://big.databio.org/refgenomes/hg38_noalt_decoy.fa.gz,files
hg38_chr22-fasta,fasta,http://big.databio.org/refgenomes/hs38_chr22.fa.gz,files
human_repeats-fasta,fasta,http://big.databio.org/refgenomes/human_repeats.fa.gz,files
human_alu-fasta,fasta,http://big.databio.org/refgenomes/human_alu.fa.gz,files
human_alphasat-fasta,fasta,http://big.databio.org/refgenomes/human_alphasat.fa.gz,files
human_rDNA-fasta,fasta,http://big.databio.org/refgenomes/human_rDNA.fa.gz,files
mouse_chrM2x-fasta,fasta,http://big.databio.org/refgenomes/mouse_chrM2x.fa.gz,files
